player,minutes_played,goals,xg,assists,xa,passes,prog_passes,goals_p90,xg_p90,assists_p90,xa_p90,team
Leandro Bacuna,2753,1.0,1.4977175494,0.0,0.0,1389.0,341.0,0.0326916091536505,0.0489627967475481,0.0,0.0,Aston Villa
Dušan Tadić,2751,7.0,6.782875652,11.0,0.0,1104.0,212.0,0.2290076335877862,0.2219043288549618,0.3598691384950926,0.0,Southampton
Joel Ward,2750,2.0,1.157470439,1.0,0.0,1328.0,255.0,0.0654545454545454,0.037880850730909,0.0327272727272727,0.0,Crystal Palace
Allan Romeo Nyom,2736,0.0,0.3393341827,1.0,0.0,1228.0,279.0,0.0,0.0111623086414473,0.0328947368421052,0.0,Watford
Nicolás Hernán Otamendi,2726,1.0,1.3754811239,0.0,0.0,1561.0,303.0,0.033015407190022,0.0454120693877476,0.0,0.0,Manchester City
Saido Berahino,2721,4.0,6.222151514,0.0,0.0,473.0,62.0,0.1323042998897464,0.2058043499669239,0.0,0.0,West Bromwich Albion
Graziano Pellè,2706,11.0,7.720267611,6.0,0.0,889.0,108.0,0.3658536585365854,0.2567716500332594,0.1995565410199556,0.0,Southampton
Dimitri Payet,2702,9.0,5.0674303673,12.0,0.0,1572.0,404.0,0.2997779422649889,0.1687893164533679,0.3997039230199852,0.0,West Ham United
Jonjo Shelvey,2686,1.0,2.7052369763,4.0,0.0,1593.0,529.0,0.0335070737155621,0.0906445747829486,0.1340282948622487,0.0,Swansea City
Jonjo Shelvey,2686,1.0,2.7052369763,4.0,0.0,1593.0,529.0,0.0335070737155621,0.0906445747829486,0.1340282948622487,0.0,Newcastle United
Eden Hazard,2671,4.0,2.394681989,3.0,0.0,1476.0,154.0,0.1347809809060277,0.0806893968588543,0.1010857356795207,0.0,Chelsea
Wayne Hennessey,2667,0.0,0.0,0.0,0.0,869.0,705.0,0.0,0.0,0.0,0.0,Crystal Palace
Danny Simpson,2665,0.0,0.830563433,0.0,0.0,1203.0,200.0,0.0,0.0280490465178236,0.0,0.0,Leicester City
Jason Puncheon,2664,2.0,3.5759572955,3.0,0.0,1408.0,294.0,0.0675675675675675,0.1208093680912162,0.1013513513513513,0.0,Crystal Palace
Emre Can,2662,1.0,2.114136559,0.0,0.0,1782.0,301.0,0.033809166040571,0.0714771939556724,0.0,0.0,Liverpool
Jan Vertonghen,2652,0.0,0.674199291,0.0,0.0,1526.0,336.0,0.0,0.0228800664366515,0.0,0.0,Tottenham Hotspur
Gnégnéri Yaya Touré,2650,6.0,5.880840277,3.0,0.0,1869.0,296.0,0.2037735849056604,0.1997266509169811,0.1018867924528302,0.0,Manchester City
Jonathan Grant Evans,2650,1.0,2.0259355855,1.0,0.0,1101.0,310.0,0.0339622641509433,0.0688053595075471,0.0339622641509433,0.0,West Bromwich Albion
Aleksandar Kolarov,2636,3.0,1.892182556,3.0,0.0,1774.0,323.0,0.1024279210925644,0.0646041085128983,0.1024279210925644,0.0,Manchester City
Dieumerci Mbokani Bezua,2626,7.0,6.0242896550000005,1.0,0.0,472.0,20.0,0.2399086062452399,0.2064684192498096,0.0342726580350342,0.0,Norwich City
Adam David Lallana,2614,4.0,3.885753835,7.0,0.0,1046.0,97.0,0.1377199693955623,0.1337864748087222,0.2410099464422341,0.0,Liverpool
Alexis Alejandro Sánchez Sánchez,2606,13.0,11.2630744794,4.0,0.0,1488.0,215.0,0.4489639293937068,0.3889780134865694,0.1381427475057559,0.0,Arsenal
Shinji Okazaki,2602,5.0,7.122357414,0.0,0.0,521.0,16.0,0.1729438893159108,0.2463536384550345,0.0,0.0,Leicester City
Ibrahim Afellay,2594,2.0,2.213303775,2.0,0.0,1331.0,276.0,0.069390902081727,0.0767915727640709,0.069390902081727,0.0,Stoke City
Bradley Guzan,2590,0.0,0.0,0.0,0.0,840.0,672.0,0.0,0.0,0.0,0.0,Aston Villa
Christian Benteke Liolo,2590,9.0,11.003690723,3.0,0.0,493.0,32.0,0.3127413127413127,0.3823676313011583,0.1042471042471042,0.0,Liverpool
Geoff Cameron,2587,0.0,0.908820533,0.0,0.0,1187.0,253.0,0.0,0.0316172585890993,0.0,0.0,Stoke City
José Leonardo Ulloa,2587,6.0,6.423967905,1.0,0.0,396.0,26.0,0.20873598763046,0.2234855475260919,0.0347893312717433,0.0,Leicester City
Victor Wanyama,2583,1.0,1.7942775163,1.0,0.0,1389.0,228.0,0.0348432055749128,0.062518380358885,0.0348432055749128,0.0,Southampton
Bacary Sagna,2577,0.0,0.195271581,3.0,0.0,1984.0,198.0,0.0,0.0068197292549476,0.1047729918509895,0.0,Manchester City
Jordan Ayew,2571,7.0,5.2455502295,0.0,0.0,824.0,62.0,0.2450408401400233,0.183624862176196,0.0,0.0,Aston Villa
Alan Hutton,2570,0.0,0.556799228,1.0,0.0,1232.0,222.0,0.0,0.0194988056498054,0.0350194552529182,0.0,Aston Villa
Morgan Schneiderlin,2561,1.0,1.210289647,0.0,0.0,1484.0,237.0,0.0351425224521671,0.0425326310933229,0.0,0.0,Manchester United
José Ramiro Funes Mori,2542,4.0,2.0404576734,0.0,0.0,1299.0,305.0,0.1416207710464201,0.0722427972486231,0.0,0.0,Everton
Lee Cattermole,2525,0.0,0.671550593,0.0,0.0,970.0,229.0,0.0,0.023936456780198,0.0,0.0,Sunderland
